,Substack Readership Rank,Twitter Followers
1,"Hundreds
of thousands
of readers",30879.0
4,"Hundreds
of thousands
of readers",143739.0
5,"Tens of
thousands
of readers",148337.0
6,"Tens of
thousands
of readers",183617.0
7,"Tens of
thousands
of readers",10475.0
8,"Tens of
thousands
of readers",3.0
9,"Tens of
thousands
of readers",886350.0
11,"Tens of
thousands
of readers",173102.0
12,"Tens of
thousands
of readers",1397.0
13,"Tens of
thousands
of readers",2211664.0
14,"Tens of
thousands
of readers",47434.0
15,"Tens of
thousands
of readers",144350.0
16,"Tens of
thousands
of readers",78025.0
17,"Tens of
thousands
of readers",142598.0
18,"Tens of
thousands
of readers",14446.0
19,"Tens of
thousands
of readers",4332.0
20,"Tens of
thousands
of readers",9016.0
22,"Tens of
thousands
of readers",93757.0
23,"Tens of
thousands
of readers",244736.0
24,"Tens of
thousands
of readers",394113.0
26,"Hundreds
of thousands
of readers",1570597.0
28,Readership N/A,936410.0
32,"Tens of
thousands
of readers",532403.0
33,"Hundreds
of thousands
of readers",541764.0
34,"Hundreds
of thousands
of readers",282864.0
35,"Hundreds
of thousands
of readers",2699049.0
37,"Tens of
thousands
of readers",921781.0
39,"Hundreds
of thousands
of readers",1569486.0
40,"Hundreds
of thousands
of readers",77251.0
41,"Tens of
thousands
of readers",154890.0
43,"Tens of
thousands
of readers",174826.0
44,"Hundreds
of thousands
of readers",5898060.0
45,"Tens of
thousands
of readers",188945.0
46,"Tens of
thousands
of readers",218233.0
47,"Tens of
thousands
of readers",1709.0
49,"Tens of
thousands
of readers",570097.0
50,"Hundreds
of thousands
of readers",182313.0
51,"Tens of
thousands
of readers",206574.0
52,"Tens of
thousands
of readers",36331.0
53,"Tens of
thousands
of readers",25937.0
54,"Tens of
thousands
of readers",462213.0
55,"Tens of
thousands
of readers",6781.0
56,"Tens of
thousands
of readers",95272.0
57,"Tens of
thousands
of readers",47241.0
58,"Tens of
thousands
of readers",3333.0
59,"Tens of
thousands
of readers",14990.0
60,"Hundreds
of thousands
of readers",43468.0
61,"Tens of
thousands
of readers",44577.0
63,"Tens of
thousands
of readers",6278.0
64,"Tens of
thousands
of readers",198442.0
65,"Tens of
thousands
of readers",70137.0
66,"Tens of
thousands
of readers",198318.0
67,"Thousands
of readers",10815.0
68,"Tens of
thousands
of readers",162.0
69,"Tens of
thousands
of readers",126111.0
70,"Hundreds
of thousands
of readers",1008800.0
72,"Tens of
thousands
of readers",54836.0
73,"Tens of
thousands
of readers",26198.0
74,"Tens of
thousands
of readers",148102.0
75,"Hundreds
of thousands
of readers",156432.0
76,"Tens of
thousands
of readers",11585.0
77,"Tens of
thousands
of readers",277623.0
78,"Tens of
thousands
of readers",75514.0
79,"Tens of
thousands
of readers",47094.0
80,"Thousands
of readers",12519.0
81,"Tens of
thousands
of readers",14501.0
82,"Tens of
thousands
of readers",140792.0
83,"Tens of
thousands
of readers",19073.0
84,"Tens of
thousands
of readers",97440.0
86,"Thousands
of readers",77913.0
87,"Tens of
thousands
of readers",16352.0
88,"Thousands
of readers",10018.0
89,"Thousands
of readers",534.0
90,Readership N/A,14683.0
91,"Thousands
of readers",26499.0
92,"Tens of
thousands
of readers",936192.0
93,"Thousands
of readers",6856.0
94,"Tens of
thousands
of readers",74195.0
95,"Thousands
of readers",1199.0
96,"Thousands
of readers",313.0
97,"Thousands
of readers",97659.0
98,"Thousands
of readers",31590.0
100,"Hundreds
of thousands
of readers",220827.0
101,"Tens of
thousands
of readers",137879.0
102,"Tens of
thousands
of readers",154829.0
103,"Tens of
thousands
of readers",426.0
104,"Tens of
thousands
of readers",10867.0
105,"Tens of
thousands
of readers",48681.0
108,"Tens of
thousands
of readers",156.0
109,"Tens of
thousands
of readers",51325.0
110,"Tens of
thousands
of readers",554326.0
111,"Tens of
thousands
of readers",21668.0
112,"Tens of
thousands
of readers",3801.0
114,"Tens of
thousands
of readers",24172.0
115,"Thousands
of readers",48611.0
116,"Thousands
of readers",7232.0
117,"Tens of
thousands
of readers",28409.0
118,"Tens of
thousands
of readers",25387.0
119,"Tens of
thousands
of readers",222.0
120,"Thousands
of readers",15687.0
121,"Thousands
of readers",18423.0
122,"Tens of
thousands
of readers",145455.0
123,"Thousands
of readers",30302.0
124,"Thousands
of readers",5024.0
125,"Hundreds
of thousands
of readers",74359.0
126,"Hundreds
of thousands
of readers",199852.0
128,"Tens of
thousands
of readers",517713.0
130,"Tens of
thousands
of readers",
131,"Tens of
thousands
of readers",1170496.0
132,"Tens of
thousands
of readers",8851.0
134,"Tens of
thousands
of readers",30227.0
135,"Thousands
of readers",32402.0
136,Readership N/A,1259584.0
137,"Tens of
thousands
of readers",17940.0
138,"Thousands
of readers",10110.0
139,"Thousands
of readers",21609.0
141,"Thousands
of readers",2286.0
143,"Thousands
of readers",19010.0
144,"Thousands
of readers",8112.0
145,"Tens of
thousands
of readers",897.0
146,Millions of readers,15.0
147,"Thousands
of readers",1570.0
148,"Tens of
thousands
of readers",1171.0
149,"Thousands
of readers",6188.0
151,"Tens of
thousands
of readers",6720.0
152,"Tens of
thousands
of readers",100404.0
153,"Tens of
thousands
of readers",11808.0
155,"Tens of
thousands
of readers",508798.0
156,"Tens of
thousands
of readers",36851.0
157,"Tens of
thousands
of readers",192308.0
158,"Tens of
thousands
of readers",11307.0
159,"Tens of
thousands
of readers",307078.0
160,"Thousands
of readers",3849.0
161,"Tens of
thousands
of readers",3366.0
162,"Tens of
thousands
of readers",2357.0
163,"Thousands
of readers",25881.0
164,"Thousands
of readers",6959.0
165,"Tens of
thousands
of readers",125230.0
166,"Tens of
thousands
of readers",859938.0
167,"Tens of
thousands
of readers",57299.0
168,"Tens of
thousands
of readers",71412.0
169,"Tens of
thousands
of readers",1458144.0
170,"Tens of
thousands
of readers",296158.0
171,"Thousands
of readers",26992.0
172,"Tens of
thousands
of readers",45818.0
174,"Thousands
of readers",77247.0
175,"Thousands
of readers",56235.0
176,"Thousands
of readers",
177,"Tens of
thousands
of readers",48976.0
178,"Tens of
thousands
of readers",5063.0
179,"Thousands
of readers",52597.0
180,"Thousands
of readers",29815.0
181,"Thousands
of readers",135755.0
182,"Thousands
of readers",40979.0
183,"Thousands
of readers",32579.0
184,"Thousands
of readers",19193.0
185,"Tens of
thousands
of readers",139180.0
186,"Tens of
thousands
of readers",334079.0
