,subdomain,Substack reactions,Tweet Count,rankingDetailFreeIncluded,rankingDetailFreeIncludedOrderOfMagnitude
0,1000wordsofsummer,394.0,63,Tens of thousands of readers,10000.0
1,1979semifinalist,0.0,82,Thousands of readers,1000.0
2,3w3m,388.0,0,Tens of thousands of readers,10000.0
3,404ever,6.0,0,Thousands of readers,1000.0
4,5thingsyoushouldbuy,160.0,0,Tens of thousands of readers,10000.0
5,aaronrenn,90.0,0,Tens of thousands of readers,10000.0
6,acontinuouslean,89.0,1,Tens of thousands of readers,10000.0
7,actioncookbook,340.0,147,Thousands of readers,1000.0
8,adamtanous,4.0,0,Hundreds of readers,100.0
9,adamtooze,314.0,28,Tens of thousands of readers,10000.0
10,agribusinessmatters,14.0,2,Thousands of readers,1000.0
11,aidangold,0.0,0,Hundreds of readers,100.0
12,alanmichaelkarbelnigphd,5.0,0,Hundreds of readers,100.0
13,alexberenson,7468.0,0,Hundreds of thousands of readers,100000.0
14,alexgraham,79.0,0,Hundreds of readers,100.0
15,alexiscoe,0.0,1,Thousands of readers,1000.0
16,alexsteffen,0.0,9,Tens of thousands of readers,10000.0
17,aliciakennedy,241.0,62,Tens of thousands of readers,10000.0
18,alilybit,0.0,39,Thousands of readers,1000.0
19,alisoneroman,406.0,3,Hundreds of thousands of readers,100000.0
20,amber,40.0,6,Thousands of readers,1000.0
21,amberschmidtkephd,26.0,0,Tens of thousands of readers,10000.0
22,americanprestige,99.0,6,Thousands of readers,1000.0
23,ampleroad,71.0,0,Thousands of readers,1000.0
24,amyodell,312.0,1,Tens of thousands of readers,10000.0
25,anchoragememories,13.0,0,Thousands of readers,1000.0
26,andrewgreene,75.0,5,Hundreds of readers,100.0
27,andrewsullivan,259.0,14,Hundreds of thousands of readers,100000.0
28,andrewzimmern,195.0,45,,
29,animationobsessive,116.0,0,Thousands of readers,1000.0
30,annebyrn,116.0,0,Tens of thousands of readers,10000.0
31,annehelen,1123.0,14,Hundreds of thousands of readers,100000.0
32,annettelaing,96.0,0,Thousands of readers,1000.0
33,anthonymorganti,100.0,9,Thousands of readers,1000.0
34,antieducation,0.0,0,Hundreds of readers,100.0
35,arabellesicardi,14.0,22,Thousands of readers,1000.0
36,ariananewhouse,15.0,0,Hundreds of readers,100.0
37,arielpink,38.0,0,Thousands of readers,1000.0
38,arimelber,122.0,17,Tens of thousands of readers,10000.0
39,arthursaboutthemeparks,20.0,19,Thousands of readers,1000.0
40,askmolly,71.0,0,Tens of thousands of readers,10000.0
41,askpolly,653.0,2,Tens of thousands of readers,10000.0
42,astralcodexten,944.0,0,Tens of thousands of readers,10000.0
43,astropoets,271.0,137,Tens of thousands of readers,10000.0
44,auburnobserver,206.0,172,Thousands of readers,1000.0
45,audacity,1038.0,57,Tens of thousands of readers,10000.0
46,audreypeterman,16.0,0,Hundreds of readers,100.0
47,auronmacintyre,157.0,0,Thousands of readers,1000.0
48,austa,0.0,0,Hundreds of readers,100.0
49,austinhankwitz,89.0,12,Thousands of readers,1000.0
50,austinkleon,851.0,53,Hundreds of thousands of readers,100000.0
51,avoidablecontact,611.0,0,Thousands of readers,1000.0
52,awritersdiary,46.0,7,Thousands of readers,1000.0
53,badastronomy,230.0,124,Tens of thousands of readers,10000.0
54,badnews,177.0,109,Tens of thousands of readers,10000.0
55,bankless,930.0,45,Hundreds of thousands of readers,100000.0
56,bariweiss,5179.0,90,,
57,beenawake,0.0,1,Hundreds of readers,100.0
58,beijingtobritain,29.0,9,Thousands of readers,1000.0
59,beiner,138.0,0,Tens of thousands of readers,10000.0
60,bengretch,170.0,10,Thousands of readers,1000.0
61,besskalb,219.0,74,Thousands of readers,1000.0
62,bestjackettpress,95.0,27,Tens of thousands of readers,10000.0
63,billshaner,23.0,8,Thousands of readers,1000.0
64,bismarck,87.0,22,Tens of thousands of readers,10000.0
65,bittmanproject,175.0,2,Tens of thousands of readers,10000.0
66,blackbirdspyplane,430.0,0,Tens of thousands of readers,10000.0
67,blackeyedstories,140.0,0,Thousands of readers,1000.0
68,blockedandreported,460.0,0,Tens of thousands of readers,10000.0
69,blockthreat,14.0,1,Thousands of readers,1000.0
70,blocktrend,123.0,1,Tens of thousands of readers,10000.0
71,bmpro,207.0,159,Tens of thousands of readers,10000.0
72,bonnerprivateresearch,2231.0,2,Tens of thousands of readers,10000.0
73,bonnittaroy,40.0,4,Thousands of readers,1000.0
74,botharetrue,174.0,0,Thousands of readers,1000.0
75,bowtiedbull,970.0,0,,
76,bowtiedcyber,41.0,405,Thousands of readers,1000.0
77,bowtiedfawn,30.0,246,Thousands of readers,1000.0
78,bowtiedoctopod,37.0,247,Thousands of readers,1000.0
79,bowtiedopossum,81.0,84,Thousands of readers,1000.0
80,bowtiedox,173.0,408,Tens of thousands of readers,10000.0
81,bradenbellphd,7.0,3,Hundreds of readers,100.0
82,brandonboyd,39.0,3,Thousands of readers,1000.0
83,brentandmichaelaregoingplaces,138.0,15,Thousands of readers,1000.0
84,brentcates,214.0,0,Tens of thousands of readers,10000.0
85,brevardnewsbeat,24.0,0,Thousands of readers,1000.0
86,brianmichaelbendis,52.0,22,Thousands of readers,1000.0
87,broccoli,24.0,0,Thousands of readers,1000.0
88,brokenpalate,451.0,0,Millions of readers,1000000.0
89,brooksreitz,31.0,0,Thousands of readers,1000.0
90,brutalsouth,112.0,0,Tens of thousands of readers,10000.0
91,buildingboys,5.0,22,Thousands of readers,1000.0
92,cabinnewsletter,0.0,0,Thousands of readers,1000.0
93,capitolaccount,0.0,0,Hundreds of readers,100.0
94,carlyannfilbin,7.0,0,Hundreds of readers,100.0
95,carolinecriadoperez,202.0,6,Tens of thousands of readers,10000.0
96,carolinemanring,23.0,0,Hundreds of readers,100.0
97,carrienewcomer,210.0,2,Tens of thousands of readers,10000.0
98,carsonellis,180.0,0,Tens of thousands of readers,10000.0
99,cartoonsbyhilary,25.0,5,Thousands of readers,1000.0
100,cascadiachronicles,0.0,0,Tens of readers,10.0
101,categorypirates,157.0,67,Tens of thousands of readers,10000.0
102,catholicmanhood,27.0,0,Hundreds of readers,100.0
103,ceramicsnow,12.0,0,Tens of thousands of readers,10000.0
104,charlotteledger,35.0,11,Tens of thousands of readers,10000.0
105,cherylstrayed,331.0,4,Tens of thousands of readers,10000.0
106,chriselliotts,99.0,7,Tens of thousands of readers,10000.0
107,chrishedges,1747.0,3,Tens of thousands of readers,10000.0
108,chrislatray,434.0,0,Thousands of readers,1000.0
109,chrisriback,2.0,1,Thousands of readers,1000.0
110,chrisryan,319.0,12,Thousands of readers,1000.0
111,christinewillard,17.0,0,Thousands of readers,1000.0
112,christopherperrin,1.0,0,Hundreds of readers,100.0
113,chuckpalahniuk,911.0,6,Tens of thousands of readers,10000.0
114,chuckprophet,80.0,7,Tens of thousands of readers,10000.0
115,civicrenaissance,26.0,8,Tens of thousands of readers,10000.0
116,claireandemma,36.0,10,Tens of thousands of readers,10000.0
117,classicalwisdom,606.0,13,Tens of thousands of readers,10000.0
118,closereads,53.0,0,Thousands of readers,1000.0
119,cocktailswithsuderman,126.0,42,Thousands of readers,1000.0
120,coffeeandcovid,7180.0,0,Tens of thousands of readers,10000.0
121,colbay,7.0,0,Thousands of readers,1000.0
122,colinmeloy,464.0,0,,
123,colinwright,471.0,81,Tens of thousands of readers,10000.0
124,commoditycontext,152.0,182,Tens of thousands of readers,10000.0
125,concoda,207.0,112,Tens of thousands of readers,10000.0
126,coreyryanforrester,441.0,107,Thousands of readers,1000.0
127,couchfish,41.0,0,Thousands of readers,1000.0
128,courtney,161.0,11,Tens of thousands of readers,10000.0
129,courtneymaum,100.0,8,Thousands of readers,1000.0
130,covidsteria,251.0,0,Thousands of readers,1000.0
131,cristinamitre,291.0,6,Tens of thousands of readers,10000.0
132,cryptoconsultinginstitute,11.0,0,Hundreds of readers,100.0
133,cryptoiseasy,52.0,2,Tens of thousands of readers,10000.0
134,ctexplored,0.0,0,Thousands of readers,1000.0
135,cubicanalytics,105.0,259,Thousands of readers,1000.0
136,cultcommunity,1.0,0,Hundreds of readers,100.0
137,cupofcoffee,590.0,131,Tens of thousands of readers,10000.0
138,curioushumans,0.0,70,Thousands of readers,1000.0
139,curve,19.0,40,Thousands of readers,1000.0
140,damiani,0.0,9,Hundreds of readers,100.0
141,danheld,0.0,92,Tens of thousands of readers,10000.0
142,danielgordis,41.0,0,Tens of thousands of readers,10000.0
143,danjones,166.0,4,Thousands of readers,1000.0
144,davidcallaway,13.0,0,Thousands of readers,1000.0
145,davidlat,172.0,23,Tens of thousands of readers,10000.0
146,davidlebovitz,849.0,1,Hundreds of thousands of readers,100000.0
147,davidmichie,295.0,0,Thousands of readers,1000.0
148,davidroberts,223.0,209,Tens of thousands of readers,10000.0
