,Substack Readership Rank,Tweet Count
88,Millions of readers,0
441,"Hundreds
of thousands
of readers",63
533,"Hundreds
of thousands
of readers",86
31,"Hundreds
of thousands
of readers",14
584,"Hundreds
of thousands
of readers",28
583,"Hundreds
of thousands
of readers",71
575,"Hundreds
of thousands
of readers",4
170,"Hundreds
of thousands
of readers",76
259,"Hundreds
of thousands
of readers",0
564,"Hundreds
of thousands
of readers",0
550,"Hundreds
of thousands
of readers",0
50,"Hundreds
of thousands
of readers",53
534,"Hundreds
of thousands
of readers",0
296,"Hundreds
of thousands
of readers",0
245,"Hundreds
of thousands
of readers",0
522,"Hundreds
of thousands
of readers",0
520,"Hundreds
of thousands
of readers",6
146,"Hundreds
of thousands
of readers",1
503,"Hundreds
of thousands
of readers",57
341,"Hundreds
of thousands
of readers",83
477,"Hundreds
of thousands
of readers",0
466,"Hundreds
of thousands
of readers",45
443,"Hundreds
of thousands
of readers",189
382,"Hundreds
of thousands
of readers",0
440,"Hundreds
of thousands
of readers",0
27,"Hundreds
of thousands
of readers",14
55,"Hundreds
of thousands
of readers",45
185,"Hundreds
of thousands
of readers",4
13,"Hundreds
of thousands
of readers",0
19,"Hundreds
of thousands
of readers",3
348,"Tens of
thousands
of readers",204
365,"Tens of
thousands
of readers",48
213,"Tens of
thousands
of readers",102
214,"Tens of
thousands
of readers",251
364,"Tens of
thousands
of readers",0
361,"Tens of
thousands
of readers",28
357,"Tens of
thousands
of readers",334
351,"Tens of
thousands
of readers",0
346,"Tens of
thousands
of readers",24
366,"Tens of
thousands
of readers",2
343,"Tens of
thousands
of readers",12
215,"Tens of
thousands
of readers",0
340,"Tens of
thousands
of readers",0
335,"Tens of
thousands
of readers",52
334,"Tens of
thousands
of readers",6
323,"Tens of
thousands
of readers",0
219,"Tens of
thousands
of readers",6
319,"Tens of
thousands
of readers",20
211,"Tens of
thousands
of readers",0
243,"Tens of
thousands
of readers",21
313,"Tens of
thousands
of readers",0
369,"Tens of
thousands
of readers",39
407,"Tens of
thousands
of readers",15
406,"Tens of
thousands
of readers",3
404,"Tens of
thousands
of readers",5
402,"Tens of
thousands
of readers",0
399,"Tens of
thousands
of readers",1
397,"Tens of
thousands
of readers",2
394,"Tens of
thousands
of readers",25
384,"Tens of
thousands
of readers",40
204,"Tens of
thousands
of readers",44
206,"Tens of
thousands
of readers",0
380,"Tens of
thousands
of readers",15
210,"Tens of
thousands
of readers",50
379,"Tens of
thousands
of readers",3
373,"Tens of
thousands
of readers",130
372,"Tens of
thousands
of readers",76
371,"Tens of
thousands
of readers",0
370,"Tens of
thousands
of readers",292
317,"Tens of
thousands
of readers",0
311,"Tens of
thousands
of readers",0
220,"Tens of
thousands
of readers",0
248,"Tens of
thousands
of readers",0
276,"Tens of
thousands
of readers",5
273,"Tens of
thousands
of readers",27
270,"Tens of
thousands
of readers",9
231,"Tens of
thousands
of readers",0
266,"Tens of
thousands
of readers",0
263,"Tens of
thousands
of readers",0
258,"Tens of
thousands
of readers",8
232,"Tens of
thousands
of readers",5
255,"Tens of
thousands
of readers",104
237,"Tens of
thousands
of readers",0
254,"Tens of
thousands
of readers",0
253,"Tens of
thousands
of readers",0
238,"Tens of
thousands
of readers",8
239,"Tens of
thousands
of readers",6
240,"Tens of
thousands
of readers",110
251,"Tens of
thousands
of readers",0
249,"Tens of
thousands
of readers",111
279,"Tens of
thousands
of readers",0
282,"Tens of
thousands
of readers",14
229,"Tens of
thousands
of readers",1
226,"Tens of
thousands
of readers",11
309,"Tens of
thousands
of readers",17
307,"Tens of
thousands
of readers",24
306,"Tens of
thousands
of readers",230
223,"Tens of
thousands
of readers",0
304,"Tens of
thousands
of readers",35
225,"Tens of
thousands
of readers",0
303,"Tens of
thousands
of readers",18
227,"Tens of
thousands
of readers",0
284,"Tens of
thousands
of readers",24
295,"Tens of
thousands
of readers",0
294,"Tens of
thousands
of readers",0
293,"Tens of
thousands
of readers",45
414,"Tens of
thousands
of readers",436
292,"Tens of
thousands
of readers",82
288,"Tens of
thousands
of readers",2
285,"Tens of
thousands
of readers",0
409,"Tens of
thousands
of readers",0
0,"Tens of
thousands
of readers",63
417,"Tens of
thousands
of readers",9
540,"Tens of
thousands
of readers",10
594,"Tens of
thousands
of readers",4
593,"Tens of
thousands
of readers",39
590,"Tens of
thousands
of readers",2
587,"Tens of
thousands
of readers",123
582,"Tens of
thousands
of readers",44
580,"Tens of
thousands
of readers",1
571,"Tens of
thousands
of readers",0
570,"Tens of
thousands
of readers",20
569,"Tens of
thousands
of readers",3
567,"Tens of
thousands
of readers",8
566,"Tens of
thousands
of readers",15
565,"Tens of
thousands
of readers",0
563,"Tens of
thousands
of readers",14
556,"Tens of
thousands
of readers",16
555,"Tens of
thousands
of readers",6
553,"Tens of
thousands
of readers",2
548,"Tens of
thousands
of readers",0
546,"Tens of
thousands
of readers",52
545,"Tens of
thousands
of readers",8
595,"Tens of
thousands
of readers",115
601,"Tens of
thousands
of readers",0
606,"Tens of
thousands
of readers",166
636,"Tens of
thousands
of readers",16
657,"Tens of
thousands
of readers",41
656,"Tens of
thousands
of readers",0
654,"Tens of
thousands
of readers",0
651,"Tens of
thousands
of readers",3
648,"Tens of
thousands
of readers",191
642,"Tens of
thousands
of readers",0
640,"Tens of
thousands
of readers",0
639,"Tens of
thousands
of readers",334
634,"Tens of
thousands
of readers",79
609,"Tens of
thousands
of readers",0
633,"Tens of
thousands
of readers",0
632,"Tens of
thousands
of readers",8
631,"Tens of
thousands
of readers",127
623,"Tens of
thousands
of readers",0
622,"Tens of
thousands
of readers",6
617,"Tens of
thousands
of readers",30
616,"Tens of
thousands
of readers",182
611,"Tens of
thousands
of readers",6
542,"Tens of
thousands
of readers",0
539,"Tens of
thousands
of readers",58
420,"Tens of
thousands
of readers",57
538,"Tens of
thousands
of readers",1
482,"Tens of
thousands
of readers",0
478,"Tens of
thousands
of readers",84
469,"Tens of
thousands
of readers",68
465,"Tens of
thousands
of readers",0
459,"Tens of
thousands
of readers",5
458,"Tens of
thousands
of readers",61
457,"Tens of
thousands
of readers",0
454,"Tens of
thousands
of readers",160
449,"Tens of
thousands
of readers",0
444,"Tens of
thousands
of readers",0
442,"Tens of
thousands
of readers",0
202,"Tens of
thousands
of readers",117
437,"Tens of
thousands
of readers",42
436,"Tens of
thousands
of readers",16
435,"Tens of
thousands
of readers",4
433,"Tens of
thousands
of readers",0
432,"Tens of
thousands
of readers",74
429,"Tens of
thousands
of readers",0
428,"Tens of
thousands
of readers",0
483,"Tens of
thousands
of readers",0
484,"Tens of
thousands
of readers",0
486,"Tens of
thousands
of readers",2
509,"Tens of
thousands
of readers",17
537,"Tens of
thousands
of readers",1
532,"Tens of
thousands
of readers",0
524,"Tens of
thousands
of readers",7
521,"Tens of
thousands
of readers",13
519,"Tens of
thousands
of readers",28
516,"Tens of
thousands
of readers",24
512,"Tens of
thousands
of readers",0
510,"Tens of
thousands
of readers",31
508,"Tens of
thousands
of readers",0
490,"Tens of
thousands
of readers",49
505,"Tens of
thousands
of readers",1
504,"Tens of
thousands
of readers",85
500,"Tens of
thousands
of readers",0
496,"Tens of
thousands
of readers",0
495,"Tens of
thousands
of readers",0
493,"Tens of
thousands
of readers",17
492,"Tens of
thousands
of readers",0
491,"Tens of
thousands
of readers",2
203,"Tens of
thousands
of readers",0
330,"Tens of
thousands
of readers",0
659,"Tens of
thousands
of readers",7
142,"Tens of
thousands
of readers",0
165,"Tens of
thousands
of readers",12
30,"Tens of
thousands
of readers",0
123,"Tens of
thousands
of readers",81
166,"Tens of
thousands
of readers",10
148,"Tens of
thousands
of readers",209
53,"Tens of
thousands
of readers",124
90,"Tens of
thousands
of readers",0
120,"Tens of
thousands
of readers",0
145,"Tens of
thousands
of readers",23
169,"Tens of
thousands
of readers",0
24,"Tens of
thousands
of readers",1
54,"Tens of
thousands
of readers",109
172,"Tens of
thousands
of readers",0
173,"Tens of
thousands
of readers",90
59,"Tens of
thousands
of readers",0
95,"Tens of
thousands
of readers",6
21,"Tens of
thousands
of readers",0
164,"Tens of
thousands
of readers",0
133,"Tens of
thousands
of readers",2
151,"Tens of
thousands
of readers",0
84,"Tens of
thousands
of readers",0
154,"Tens of
thousands
of readers",0
131,"Tens of
thousands
of readers",6
156,"Tens of
thousands
of readers",0
43,"Tens of
thousands
of readers",137
42,"Tens of
thousands
of readers",0
41,"Tens of
thousands
of readers",2
40,"Tens of
thousands
of readers",0
38,"Tens of
thousands
of readers",17
163,"Tens of
thousands
of readers",0
160,"Tens of
thousands
of readers",17
80,"Tens of
thousands
of readers",408
128,"Tens of
thousands
of readers",11
45,"Tens of
thousands
of readers",57
162,"Tens of
thousands
of readers",35
125,"Tens of
thousands
of readers",112
124,"Tens of
thousands
of readers",182
72,"Tens of
thousands
of readers",2
175,"Tens of
thousands
of readers",31
62,"Tens of
thousands
of readers",27
113,"Tens of
thousands
of readers",6
101,"Tens of
thousands
of readers",67
190,"Tens of
thousands
of readers",17
103,"Tens of
thousands
of readers",0
104,"Tens of
thousands
of readers",11
9,"Tens of
thousands
of readers",28
192,"Tens of
thousands
of readers",0
105,"Tens of
thousands
of readers",4
106,"Tens of
thousands
of readers",7
64,"Tens of
thousands
of readers",22
6,"Tens of
thousands
of readers",1
5,"Tens of
thousands
of readers",0
107,"Tens of
thousands
of readers",3
65,"Tens of
thousands
of readers",2
4,"Tens of
thousands
of readers",0
66,"Tens of
thousands
of readers",0
68,"Tens of
thousands
of readers",0
2,"Tens of
thousands
of readers",0
141,"Tens of
thousands
of readers",92
199,"Tens of
thousands
of readers",48
188,"Tens of
thousands
of readers",0
153,"Tens of
thousands
of readers",0
114,"Tens of
thousands
of readers",7
183,"Tens of
thousands
of readers",0
71,"Tens of
thousands
of readers",159
117,"Tens of
thousands
of readers",13
137,"Tens of
thousands
of readers",131
181,"Tens of
thousands
of readers",36
97,"Tens of
thousands
of readers",2
17,"Tens of
thousands
of readers",62
116,"Tens of
thousands
of readers",10
98,"Tens of
thousands
of readers",0
16,"Tens of
thousands
of readers",9
115,"Tens of
thousands
of readers",8
186,"Tens of
thousands
of readers",0
70,"Tens of
thousands
of readers",1
499,"Thousands
of readers",0
487,"Thousands
of readers",0
77,"Thousands
of readers",246
73,"Thousands
of readers",4
506,"Thousands
of readers",45
82,"Thousands
of readers",3
74,"Thousands
of readers",0
502,"Thousands
of readers",0
494,"Thousands
of readers",0
69,"Thousands
of readers",1
78,"Thousands
of readers",247
489,"Thousands
of readers",0
501,"Thousands
of readers",120
511,"Thousands
of readers",0
76,"Thousands
of readers",405
79,"Thousands
of readers",84
507,"Thousands
of readers",0
472,"Thousands
of readers",85
485,"Thousands
of readers",0
99,"Thousands
of readers",5
453,"Thousands
of readers",333
451,"Thousands
of readers",0
450,"Thousands
of readers",21
448,"Thousands
of readers",20
447,"Thousands
of readers",86
446,"Thousands
of readers",0
445,"Thousands
of readers",0
439,"Thousands
of readers",159
83,"Thousands
of readers",15
434,"Thousands
of readers",212
200,"Thousands
of readers",32
430,"Thousands
of readers",0
108,"Thousands
of readers",0
427,"Thousands
of readers",0
426,"Thousands
of readers",21
425,"Thousands
of readers",0
456,"Thousands
of readers",72
92,"Thousands
of readers",0
460,"Thousands
of readers",152
462,"Thousands
of readers",17
85,"Thousands
of readers",0
481,"Thousands
of readers",63
480,"Thousands
of readers",0
86,"Thousands
of readers",22
87,"Thousands
of readers",0
476,"Thousands
of readers",17
475,"Thousands
of readers",0
474,"Thousands
of readers",2
515,"Thousands
of readers",31
470,"Thousands
of readers",68
89,"Thousands
of readers",0
468,"Thousands
of readers",26
91,"Thousands
of readers",22
464,"Thousands
of readers",0
463,"Thousands
of readers",86
513,"Thousands
of readers",0
541,"Thousands
of readers",63
67,"Thousands
of readers",0
23,"Thousands
of readers",0
18,"Thousands
of readers",39
20,"Thousands
of readers",6
615,"Thousands
of readers",16
614,"Thousands
of readers",1
613,"Thousands
of readers",0
612,"Thousands
of readers",16
22,"Thousands
of readers",6
607,"Thousands
of readers",0
605,"Thousands
of readers",1
621,"Thousands
of readers",6
604,"Thousands
of readers",0
603,"Thousands
of readers",0
602,"Thousands
of readers",21
600,"Thousands
of readers",219
599,"Thousands
of readers",0
596,"Thousands
of readers",0
25,"Thousands
of readers",0
592,"Thousands
of readers",5
620,"Thousands
of readers",1
624,"Thousands
of readers",0
517,"Thousands
of readers",0
7,"Thousands
of readers",147
658,"Thousands
of readers",0
3,"Thousands
of readers",0
655,"Thousands
of readers",0
653,"Thousands
of readers",0
652,"Thousands
of readers",0
647,"Thousands
of readers",10
644,"Thousands
of readers",4
643,"Thousands
of readers",85
641,"Thousands
of readers",33
626,"Thousands
of readers",118
638,"Thousands
of readers",31
637,"Thousands
of readers",23
10,"Thousands
of readers",2
635,"Thousands
of readers",0
